Prey,Predator
Hydrozoa,Eurythenes gryllus
Isopoda,Eurythenes gryllus
Ophiuroidea,Eurythenes gryllus
Polychaeta,Eurythenes gryllus
Porifera,Eurythenes gryllus
Urticinopsis antarctica,Eurythenes gryllus
Copepoda,Eusirus antarcticus
Amphipoda,Eusirus perdentatus
Crustacea,Eusirus perdentatus
Detritus,Eusirus perdentatus
Polychaeta,Eusirus perdentatus
Polychaeta,Fish
Crustacea,Frontoserolis bouvieri
Polychaeta,Frontoserolis bouvieri
Amphipoda,Fulmarus glacialoides
Crustacea,Fulmarus glacialoides
Cyllopus lucasii,Fulmarus glacialoides
Electrona antarctica,Fulmarus glacialoides
Euphausia superba,Fulmarus glacialoides
Eurythenes gryllus,Fulmarus glacialoides
Fish,Fulmarus glacialoides
Galiteuthis glacialis,Fulmarus glacialoides
Gonatus antarcticus,Fulmarus glacialoides
Gymnoscopelus braueri,Fulmarus glacialoides
Gymnoscopelus opisthopterus,Fulmarus glacialoides
Notocrangon antarcticus,Fulmarus glacialoides
Notolepis coatsi,Fulmarus glacialoides
Protomyctophum bolini,Fulmarus glacialoides
Psychroteuthis glacialis,Fulmarus glacialoides
Salpa thompsoni,Fulmarus glacialoides
Vibilia antarctica,Fulmarus glacialoides
Vibilia stebbingi,Fulmarus glacialoides
Euphausia superba,Galiteuthis glacialis
Zooplankton,Gastropoda
Amphipoda,Gerlachea australis
Crustacea,Gerlachea australis
Euphausia crystallorophias,Gerlachea australis
Euphausiacea,Gerlachea australis
Mysidacea,Gerlachea australis
Bacillariophyta,Gersemia antarctica
Detritus,Gersemia antarctica
Foraminifera,Gersemia antarctica
Bacillariophyta,Globocassidulina crassa
Detritus,Globocassidulina crassa
Sediment,Globocassidulina crassa
Asteroidea,Glyptonotus antarcticus
Detritus,Glyptonotus antarcticus
Echinoidea,Glyptonotus antarcticus
Euphausia superba,Glyptonotus antarcticus
Gastropoda,Glyptonotus antarcticus
Glyptonotus antarcticus,Glyptonotus antarcticus
Isopoda,Glyptonotus antarcticus
Limacina helicina,Glyptonotus antarcticus
Ophiuroidea,Glyptonotus antarcticus
Polychaeta,Glyptonotus antarcticus
Zooplankton,Gnathia calva
Brachiopoda,Gnathiphimedia mandibularis
Bryozoa,Gnathiphimedia mandibularis
Porifera,Gnathiphimedia mandibularis
Detritus,Golfingia anderssoni
Detritus,Golfingia margaritacea margaritacea
Detritus,Golfingia mawsoni
Detritus,Golfingia nordenskojoeldi
Detritus,Golfingia ohlini
Cyllopus lucasii,Gonatus antarcticus
Euphausia superba,Gonatus antarcticus
Fish,Gonatus antarcticus
Copepoda,Gorgonocephalus chilensis
Amphipoda,Gymnodraco acuticeps
Euphausiacea,Gymnodraco acuticeps
Fish,Gymnodraco acuticeps
